category,project,path,number,version,filename
module,NetBeans Modules Java Project UI,/artifact/org.netbeans.api/org-netbeans-modules-java-project-ui,62,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-java-project-ui___RELEASE122.jar
module,NetBeans Modules J2EE Metadata,/artifact/org.netbeans.api/org-netbeans-modules-j2ee-metadata,60,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-j2ee-metadata___RELEASE122.jar
module,Wrappers SLF4J (JDK 1.4),/artifact/com.kenai.nbpwr/org-slf4j-jdk14,59,1.6.1-201106101300,jars/com.kenai.nbpwr__org-slf4j-jdk14___1.6.1-201106101300.jar
module,Devkit Support,/artifact/org.mule.modules/mule-module-devkit-support,59,3.9.0,jars/org.mule.modules__mule-module-devkit-support___3.9.0.jar
module,Mule Extensions Support,/artifact/org.mule.modules/mule-module-extensions-support,57,3.9.0,jars/org.mule.modules__mule-module-extensions-support___3.9.0.jar
module,NetBeans Modules CND Utilities,/artifact/org.netbeans.modules/org-netbeans-modules-cnd-utils,57,RELEASE802,jars/org.netbeans.modules__org-netbeans-modules-cnd-utils___RELEASE802.jar
module,Scala Async,/artifact/org.scala-lang.modules/scala-async,57,0.10.0,jars/org.scala-lang.modules__scala-async___0.10.0.jar
module,OpenBlueSky Test Utilities,/artifact/it.tidalwave.netbeans/it-tidalwave-netbeans-util-test,56,1.0.62,jars/it.tidalwave.netbeans__it-tidalwave-netbeans-util-test___1.0.62.jar
module,Library Geotools,/artifact/nl.cloudfarming.client/lib-geotools,56,2.7.7-NB72,jars/nl.cloudfarming.client__lib-geotools___2.7.7-NB72.jar
module,NetBeans Modules J2EE DD,/artifact/org.netbeans.api/org-netbeans-modules-j2ee-dd,56,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-j2ee-dd___RELEASE122.jar
module,Scala Swing,/artifact/org.scala-lang.modules/scala-swing,56,3.0.0,jars/org.scala-lang.modules__scala-swing___3.0.0.jar
module,Jersey Module,/artifact/org.mule.modules/mule-module-jersey,55,3.9.0,jars/org.mule.modules__mule-module-jersey___3.9.0.jar
module,APIKit Module,/artifact/org.mule.modules/mule-module-apikit,55,3.9.4,jars/org.mule.modules__mule-module-apikit___3.9.4.jar
module,DAISY Pipeline 2 Module :: Common Utilities,/artifact/org.daisy.pipeline.modules/common-utils,54,1.3.1,jars/org.daisy.pipeline.modules__common-utils___1.3.1.jar
module,Mule Extensions Spring Support,/artifact/org.mule.modules/mule-module-extensions-spring-support,54,3.9.0,jars/org.mule.modules__mule-module-extensions-spring-support___3.9.0.jar
